BinBase name,F_SACT_1_001,F_SACT_2_002,F_SACT_3_003,normF_SACT_1_001,normF_SACT_2_002,normF_SACT_3_003
382944,859,682,114,8.755840433523168e-6,7.472536401716018e-6,1.142500602493684e-6
382905,3310,4340,3835,3.373903589634655e-5,4.7552504374556485e-5,3.843412114529191e-5
382601,5403,4402,5598,5.5073115090018244e-5,4.8231825865621576e-5,5.610279274350564e-5
381214,5379,6052,5435,5.482848159711422e-5,6.631054296654742e-5,5.446921732064186e-5
380761,857,945,644,8.735454309114498e-6,1.035417433962117e-5,6.454126210578355e-6
380017,75256,2519,73216,7.670890892493824e-4,2.7600174774080133e-5,7.337660009840137e-4
379842,2521,2057,2482,2.569670981712678e-5,2.2538133985820895e-5,2.487444294201161e-5
379014,2316,2533,1909,2.3607132065238248e-5,2.7753569949481928e-5,1.9131874124214408e-5
378986,4404,3605,4451,4.4890245947888275e-5,3.949925766596224e-5,4.460763317280164e-5
378843,627,645,552,6.391050002117609e-6,7.0671348667255605e-6,5.532108180495733e-6
378828,43005,53148,50293,4.383526400973967e-4,5.823319130181862e-4,5.040331824667969e-4
378287,32486,28188,36344,3.311318187700042e-4,3.0885022887327146e-4,3.642372096230741e-4
377751,2992,1066,3570,3.0497642115368238e-5,1.16799469270224e-5,3.5778308341249576e-5
377697,17248,17075,18387,1.7580993690035807e-4,1.870873299989751e-4,1.842733208600997e-4
377474,7285,9483,5635,7.425645815857541e-5,1.0390331773823021e-4,5.647360434256061e-5
377073,2324,1531,1771,2.3688676562872923e-5,1.6774858110010592e-5,1.7748847079090475e-5
372460,718,665,648,7.31861866271203e-6,7.286270831585267e-6,6.49421395101673e-6
372445,3086,3170,2807,3.145578996257566e-5,3.4733050430263604e-5,2.813157185262957e-5
371546,49952,48693,31760,5.091638432309072e-4,5.335193768456864e-4,3.182966590806965e-4
371280,9529,8325,9023,9.712968974510158e-5,9.121534537285316e-5,9.042792049386412e-5
371262,884,604,757,9.010666988631525e-6,6.61790613876316e-6,7.5866048779624456e-6
370223,12203,7957,8571,1.2438593807949152e-4,8.718324361943454e-5,8.589800582432777e-5
370160,5977,5988,1441,6.092393279530614e-5,6.560930787899636e-5,1.4441608492924548e-5
362287,4432,4694,3872,4.517565168960964e-5,5.1431210952573304e-5,3.880493274434688e-5
